grade_id,student_id,course_code,grade,letter_grade,semester,exam_date
GRD000953,STU000209,CS401,51.23,F,Spring 2024,2025-04-16
GRD000954,STU000209,PH101,91.66,A,Fall 2023,2025-07-14
GRD000955,STU000210,CS101,68.77,D,Spring 2024,2025-01-27
GRD000956,STU000210,EN201,86.76,B,Spring 2025,2024-11-28
GRD000957,STU000210,BA101,75.14,C,Fall 2024,2025-02-24
GRD000958,STU000210,MA201,76.85,C,Fall 2024,2025-01-12
GRD000959,STU000210,EN101,78.55,C,Spring 2024,2024-12-01
GRD000960,STU000211,MA201,76.72,C,Fall 2023,2025-08-14
GRD000961,STU000211,CS101,79.64,C,Spring 2024,2025-06-18
GRD000962,STU000211,CS401,89.94,B,Spring 2024,2025-09-11
GRD000963,STU000212,MA101,72.95,C,Spring 2025,2025-10-11
GRD000964,STU000212,BA201,80.64,B,Fall 2024,2025-07-08
GRD000965,STU000212,BA101,68.65,D,Spring 2025,2024-12-21
GRD000966,STU000212,CS301,91.6,A,Spring 2024,2025-04-28
GRD000967,STU000213,CS201,59.85,F,Fall 2024,2024-12-29
GRD000968,STU000213,BA101,97.01,A,Spring 2024,2024-11-18
GRD000969,STU000213,BA301,69.4,D,Fall 2024,2025-02-03
GRD000970,STU000213,CS301,48.54,F,Spring 2024,2025-04-18
GRD000971,STU000213,CS401,71.92,C,Spring 2024,2025-06-10
GRD000972,STU000213,CS101,59.78,F,Spring 2025,2025-05-08
GRD000973,STU000214,MA101,82.61,B,Fall 2024,2025-09-16
GRD000974,STU000214,CS401,60.21,D,Fall 2023,2024-12-03
GRD000975,STU000214,CS201,63.31,D,Spring 2025,2025-10-16
GRD000976,STU000215,MA201,41.66,F,Spring 2024,2025-07-26
GRD000977,STU000215,CS201,63.22,D,Fall 2024,2025-11-13
GRD000978,STU000215,BA201,33.64,F,Fall 2023,2025-05-09
GRD000979,STU000215,MA101,46.24,F,Spring 2024,2025-05-09
GRD000980,STU000215,BA101,81.41,B,Fall 2023,2025-09-16
GRD000981,STU000216,EN201,81.79,B,Fall 2023,2025-02-21
GRD000982,STU000216,BA101,76.38,C,Fall 2024,2024-11-25
GRD000983,STU000216,MA101,55.5,F,Fall 2024,2025-02-09
GRD000984,STU000216,EN101,69.28,D,Fall 2024,2025-01-11
GRD000985,STU000217,CS101,69.95,D,Spring 2025,2025-08-18
GRD000986,STU000217,CS301,52.62,F,Fall 2024,2024-12-06
GRD000987,STU000217,BA201,92.55,A,Spring 2025,2025-03-19
GRD000988,STU000218,BA101,83.16,B,Spring 2024,2025-09-06
GRD000989,STU000218,CS101,66.69,D,Spring 2025,2025-02-01
GRD000990,STU000218,EN201,70.4,C,Fall 2024,2025-10-22
GRD000991,STU000218,CS301,73.13,C,Fall 2024,2024-11-21
GRD000992,STU000219,MA201,39.37,F,Spring 2024,2025-04-08
GRD000993,STU000219,MA101,66.29,D,Fall 2024,2025-03-24
GRD000994,STU000219,BA301,59.77,F,Fall 2024,2025-06-30
GRD000995,STU000219,EN101,54.98,F,Spring 2025,2025-02-25
GRD000996,STU000220,BA101,65.78,D,Spring 2025,2025-06-11
GRD000997,STU000220,MA201,96.97,A,Fall 2023,2024-12-29
GRD000998,STU000220,CS201,79.61,C,Fall 2023,2025-10-10
GRD000999,STU000220,PH101,61.43,D,Spring 2024,2025-10-02
GRD001000,STU000221,MA101,78.59,C,Spring 2025,2025-11-13
GRD001001,STU000221,CS101,90.99,A,Spring 2025,2024-12-07
GRD001002,STU000221,CS201,83.87,B,Spring 2024,2025-03-18
GRD001003,STU000221,BA101,70.89,C,Spring 2025,2025-02-28
GRD001004,STU000222,BA301,60.3,D,Spring 2024,2025-11-15
GRD001005,STU000222,CS101,80.47,B,Spring 2025,2024-11-24
GRD001006,STU000222,MA101,75.9,C,Fall 2024,2025-07-16
GRD001007,STU000223,MA101,83.43,B,Spring 2024,2025-08-21
GRD001008,STU000223,EN101,79.53,C,Fall 2023,2025-05-15
GRD001009,STU000223,CS301,85.74,B,Spring 2024,2025-02-28
GRD001010,STU000224,CS101,61.97,D,Fall 2024,2025-09-22
GRD001011,STU000224,BA301,89.76,B,Fall 2024,2024-12-06
GRD001012,STU000224,EN101,72.96,C,Spring 2024,2025-02-15
GRD001013,STU000224,MA201,100.0,A,Fall 2023,2025-06-23
GRD001014,STU000224,CS301,59.66,F,Fall 2024,2025-03-16
GRD001015,STU000225,BA101,96.04,A,Fall 2024,2024-12-24
GRD001016,STU000225,CS401,72.97,C,Fall 2023,2025-03-26
GRD001017,STU000225,CS101,60.23,D,Spring 2025,2025-10-20
GRD001018,STU000225,BA301,62.74,D,Fall 2024,2025-11-15
GRD001019,STU000225,MA201,65.19,D,Spring 2025,2025-06-03
GRD001020,STU000226,BA201,76.36,C,Spring 2025,2025-05-21
GRD001021,STU000226,CS201,77.84,C,Fall 2023,2025-09-28
GRD001022,STU000226,CS101,61.39,D,Spring 2025,2025-03-12
GRD001023,STU000226,PH101,69.63,D,Spring 2024,2025-10-06
GRD001024,STU000226,CS301,100.0,A,Spring 2024,2025-04-22
GRD001025,STU000227,EN101,95.91,A,Fall 2024,2025-07-26
GRD001026,STU000227,CS101,76.54,C,Spring 2025,2025-04-30
GRD001027,STU000227,CS301,70.57,C,Fall 2024,2025-06-18
GRD001028,STU000228,BA301,71.8,C,Spring 2025,2024-12-17
GRD001029,STU000228,CS301,79.2,C,Spring 2025,2025-08-28
GRD001030,STU000228,EN201,54.66,F,Spring 2024,2025-05-21
GRD001031,STU000228,BA101,66.14,D,Spring 2025,2025-11-16
GRD001032,STU000228,CS201,44.97,F,Fall 2024,2024-11-20
GRD001033,STU000229,CS201,75.99,C,Spring 2024,2025-04-30
GRD001034,STU000229,CS401,79.71,C,Spring 2025,2025-06-02
GRD001035,STU000229,BA101,62.75,D,Fall 2023,2025-08-28
GRD001036,STU000229,CS101,93.61,A,Spring 2024,2025-03-18
GRD001037,STU000230,CS201,51.61,F,Spring 2024,2025-06-05
GRD001038,STU000230,BA301,48.03,F,Spring 2025,2025-03-07
GRD001039,STU000230,EN101,73.37,C,Spring 2025,2025-09-12
GRD001040,STU000230,EN201,85.71,B,Fall 2023,2025-09-24
GRD001041,STU000230,MA101,95.26,A,Fall 2023,2025-09-15
GRD001042,STU000231,BA201,63.12,D,Fall 2023,2024-12-06
GRD001043,STU000231,EN201,86.18,B,Fall 2024,2025-04-13
GRD001044,STU000231,CS101,69.42,D,Fall 2023,2025-04-10
GRD001045,STU000231,CS401,67.41,D,Spring 2025,2025-06-23
GRD001046,STU000232,EN101,83.25,B,Spring 2024,2025-07-14
GRD001047,STU000232,CS201,79.78,C,Fall 2024,2025-09-21
GRD001048,STU000232,BA301,46.35,F,Fall 2024,2024-11-25
GRD001049,STU000232,CS401,92.15,A,Spring 2024,2024-12-12
GRD001050,STU000232,CS301,90.7,A,Spring 2025,2025-08-09
GRD001051,STU000233,PH101,60.62,D,Spring 2024,2025-07-24
GRD001052,STU000233,CS201,75.94,C,Fall 2023,2025-09-12
GRD001053,STU000233,EN201,77.41,C,Spring 2025,2025-10-30
GRD001054,STU000233,CS301,73.91,C,Fall 2024,2025-08-12
GRD001055,STU000233,CS401,61.75,D,Spring 2024,2025-04-14
GRD001056,STU000233,BA301,59.93,F,Fall 2023,2025-01-07
GRD001057,STU000234,CS201,69.62,D,Fall 2024,2024-11-25
GRD001058,STU000234,CS101,87.59,B,Spring 2024,2025-07-28
GRD001059,STU000234,BA301,78.15,C,Fall 2024,2025-04-14
GRD001060,STU000234,MA101,64.44,D,Spring 2025,2025-10-18
GRD001061,STU000235,MA201,81.58,B,Fall 2024,2025-05-23
GRD001062,STU000235,CS101,27.27,F,Spring 2025,2025-07-15
GRD001063,STU000235,BA101,87.23,B,Fall 2024,2025-10-25
GRD001064,STU000235,CS201,43.9,F,Spring 2024,2025-10-29
GRD001065,STU000235,MA101,64.56,D,Fall 2023,2025-10-23
GRD001066,STU000235,CS301,53.2,F,Fall 2024,2025-08-02
GRD001067,STU000236,EN101,50.58,F,Spring 2024,2025-07-12
GRD001068,STU000236,BA101,87.41,B,Spring 2025,2025-05-16
GRD001069,STU000236,MA101,62.98,D,Fall 2024,2025-06-16
GRD001070,STU000236,CS201,75.2,C,Fall 2023,2025-09-30
GRD001071,STU000236,BA301,69.3,D,Fall 2023,2024-12-04
GRD001072,STU000237,BA201,77.16,C,Fall 2024,2025-07-20
GRD001073,STU000237,PH101,71.15,C,Fall 2024,2025-08-03
GRD001074,STU000237,MA201,50.76,F,Spring 2025,2025-10-05
GRD001075,STU000237,EN201,84.94,B,Fall 2023,2025-09-13
GRD001076,STU000238,CS101,62.59,D,Spring 2024,2024-11-23
GRD001077,STU000238,MA101,46.65,F,Spring 2025,2025-09-29
GRD001078,STU000238,CS401,63.58,D,Fall 2023,2025-02-12
GRD001079,STU000239,BA101,92.51,A,Fall 2023,2025-09-14
GRD001080,STU000239,EN101,82.75,B,Spring 2024,2025-04-18
GRD001081,STU000239,CS401,64.77,D,Fall 2024,2025-02-05
GRD001082,STU000239,EN201,64.76,D,Fall 2024,2025-05-15
GRD001083,STU000239,CS301,65.18,D,Spring 2025,2024-12-31
GRD001084,STU000240,BA301,100.0,A,Spring 2025,2025-02-23
GRD001085,STU000240,CS201,75.73,C,Fall 2023,2025-08-25
GRD001086,STU000240,EN101,76.45,C,Fall 2024,2024-11-27
GRD001087,STU000241,BA101,85.45,B,Spring 2024,2025-04-29
GRD001088,STU000241,CS101,73.58,C,Spring 2025,2024-12-03
GRD001089,STU000241,MA101,66.11,D,Fall 2023,2025-08-26
GRD001090,STU000241,MA201,67.05,D,Spring 2025,2025-03-03
GRD001091,STU000242,EN201,68.93,D,Fall 2023,2025-08-29
GRD001092,STU000242,BA301,69.44,D,Spring 2024,2025-01-19
GRD001093,STU000242,MA201,80.91,B,Fall 2023,2025-03-01
GRD001094,STU000242,BA101,70.78,C,Spring 2025,2025-03-06
GRD001095,STU000242,CS401,80.99,B,Fall 2024,2025-06-16
GRD001096,STU000242,CS201,68.79,D,Spring 2024,2025-06-20
GRD001097,STU000243,EN201,71.18,C,Spring 2024,2025-06-22
GRD001098,STU000243,CS201,40.03,F,Fall 2023,2024-12-26
GRD001099,STU000243,CS301,83.74,B,Spring 2024,2025-06-29
GRD001100,STU000243,CS401,75.2,C,Spring 2024,2025-07-03
GRD001101,STU000243,CS101,84.97,B,Fall 2023,2024-12-25
GRD001102,STU000244,CS401,26.56,F,Fall 2024,2024-12-30
GRD001103,STU000244,EN201,100.0,A,Fall 2024,2025-06-05
GRD001104,STU000244,CS201,67.91,D,Fall 2023,2024-11-22
GRD001105,STU000244,CS101,86.62,B,Fall 2024,2025-09-11
GRD001106,STU000245,MA101,54.4,F,Fall 2024,2025-07-29
GRD001107,STU000245,BA101,79.19,C,Fall 2024,2025-08-20
GRD001108,STU000245,BA201,54.2,F,Fall 2024,2025-11-10
GRD001109,STU000245,CS101,60.64,D,Fall 2023,2024-12-01
GRD001110,STU000245,EN201,98.71,A,Spring 2025,2024-12-19
GRD001111,STU000245,BA301,67.14,D,Fall 2024,2025-01-02
GRD001112,STU000246,EN101,73.26,C,Spring 2024,2025-01-25
GRD001113,STU000246,CS401,83.05,B,Spring 2025,2025-08-31
GRD001114,STU000246,BA201,77.44,C,Spring 2025,2025-07-23
GRD001115,STU000246,BA101,72.26,C,Spring 2025,2025-05-14
GRD001116,STU000247,EN101,75.47,C,Spring 2025,2025-08-16
GRD001117,STU000247,CS201,100.0,A,Spring 2024,2025-08-14
GRD001118,STU000247,PH101,69.14,D,Spring 2025,2025-08-18
GRD001119,STU000247,CS301,73.02,C,Fall 2024,2025-11-08
GRD001120,STU000248,CS301,85.76,B,Spring 2024,2025-10-13
GRD001121,STU000248,PH101,86.58,B,Spring 2025,2025-07-16
GRD001122,STU000248,BA301,87.81,B,Spring 2025,2024-12-23
GRD001123,STU000248,CS401,79.58,C,Spring 2025,2025-09-28
GRD001124,STU000248,CS201,52.85,F,Spring 2024,2025-11-12
GRD001125,STU000249,BA301,94.5,A,Fall 2023,2025-11-12
GRD001126,STU000249,PH101,52.8,F,Fall 2023,2025-09-12
GRD001127,STU000249,CS101,74.54,C,Spring 2024,2025-10-07
GRD001128,STU000250,CS301,58.69,F,Fall 2023,2025-02-14
GRD001129,STU000250,MA201,69.04,D,Fall 2024,2024-11-21
GRD001130,STU000250,MA101,74.93,C,Fall 2023,2025-08-07
GRD001131,STU000250,CS101,74.82,C,Spring 2024,2025-03-18
GRD001132,STU000250,EN201,76.33,C,Spring 2025,2025-08-27
GRD001133,STU000251,BA201,94.21,A,Fall 2024,2025-01-01
GRD001134,STU000251,EN101,76.8,C,Fall 2023,2025-11-08
GRD001135,STU000251,CS301,66.34,D,Fall 2023,2025-09-27
GRD001136,STU000251,CS401,84.46,B,Fall 2024,2025-09-27
GRD001137,STU000251,CS101,87.84,B,Spring 2025,2025-09-07
GRD001138,STU000252,CS401,51.59,F,Spring 2025,2025-05-05
GRD001139,STU000252,CS101,78.96,C,Spring 2024,2025-05-22
GRD001140,STU000252,PH101,80.52,B,Fall 2024,2025-07-26
GRD001141,STU000253,MA201,65.54,D,Fall 2023,2025-06-27
GRD001142,STU000253,CS201,90.64,A,Fall 2024,2025-10-10
GRD001143,STU000253,EN101,67.75,D,Fall 2024,2025-09-19
GRD001144,STU000253,CS301,71.88,C,Fall 2024,2025-10-06
GRD001145,STU000253,PH101,67.4,D,Fall 2023,2025-01-13
GRD001146,STU000253,MA101,70.23,C,Spring 2024,2025-08-19
GRD001147,STU000254,EN201,53.56,F,Fall 2024,2025-01-03
GRD001148,STU000254,BA201,48.4,F,Fall 2024,2025-05-24
GRD001149,STU000254,MA101,93.92,A,Fall 2023,2025-07-03
GRD001150,STU000254,CS301,57.3,F,Spring 2025,2024-12-15
GRD001151,STU000254,BA301,55.13,F,Fall 2024,2025-07-06
GRD001152,STU000254,CS201,37.7,F,Fall 2023,2025-11-17
GRD001153,STU000255,MA201,60.42,D,Spring 2025,2025-04-04
GRD001154,STU000255,CS301,50.15,F,Spring 2025,2025-10-15
GRD001155,STU000255,BA201,94.63,A,Fall 2023,2025-01-27
GRD001156,STU000255,PH101,85.15,B,Spring 2025,2025-06-29
GRD001157,STU000256,CS201,59.68,F,Spring 2025,2025-05-22
GRD001158,STU000256,BA201,100.0,A,Fall 2024,2025-03-10
GRD001159,STU000256,CS301,84.73,B,Spring 2025,2025-03-17
GRD001160,STU000256,MA101,65.13,D,Spring 2025,2025-01-14
GRD001161,STU000257,CS301,32.51,F,Spring 2025,2025-02-16
GRD001162,STU000257,MA201,100.0,A,Spring 2025,2025-02-19
GRD001163,STU000257,CS401,49.16,F,Spring 2024,2025-05-06
GRD001164,STU000257,BA301,45.32,F,Fall 2023,2025-01-25
GRD001165,STU000257,EN201,85.34,B,Spring 2025,2025-02-22
GRD001166,STU000258,PH101,100.0,A,Fall 2023,2025-08-06
GRD001167,STU000258,CS201,90.76,A,Fall 2023,2025-05-17
GRD001168,STU000258,CS401,78.46,C,Spring 2025,2025-09-11
GRD001169,STU000258,BA201,78.92,C,Fall 2023,2025-10-19
GRD001170,STU000259,BA201,82.8,B,Spring 2025,2025-07-17
GRD001171,STU000259,CS301,81.38,B,Spring 2024,2025-07-27
GRD001172,STU000259,BA101,74.22,C,Fall 2023,2025-09-09
GRD001173,STU000259,EN101,71.56,C,Fall 2023,2024-11-27
GRD001174,STU000259,MA201,69.06,D,Spring 2024,2025-05-09
GRD001175,STU000260,PH101,58.69,F,Fall 2023,2024-11-24
GRD001176,STU000260,BA301,65.79,D,Fall 2023,2024-12-14
GRD001177,STU000260,BA201,44.61,F,Fall 2023,2025-03-19
GRD001178,STU000261,CS101,68.52,D,Fall 2023,2025-07-16
GRD001179,STU000261,CS301,55.17,F,Fall 2023,2025-11-12
GRD001180,STU000261,BA201,53.45,F,Spring 2025,2025-09-03
GRD001181,STU000261,MA201,72.7,C,Spring 2024,2025-03-23
GRD001182,STU000262,PH101,90.88,A,Spring 2025,2025-05-30
GRD001183,STU000262,EN201,83.77,B,Spring 2025,2024-12-23
GRD001184,STU000262,BA101,46.44,F,Fall 2023,2025-06-25
GRD001185,STU000262,EN101,55.16,F,Fall 2023,2025-08-31
GRD001186,STU000263,MA201,84.11,B,Spring 2024,2025-03-06
GRD001187,STU000263,CS101,55.26,F,Spring 2024,2025-11-13
GRD001188,STU000263,MA101,66.63,D,Spring 2025,2025-04-16
GRD001189,STU000264,EN201,78.25,C,Spring 2024,2025-04-16
GRD001190,STU000264,BA101,55.47,F,Spring 2024,2025-07-02
GRD001191,STU000264,MA101,71.58,C,Fall 2023,2025-02-24
GRD001192,STU000264,PH101,49.99,F,Spring 2025,2025-09-15
GRD001193,STU000264,MA201,60.98,D,Spring 2024,2025-04-27
GRD001194,STU000264,BA201,74.8,C,Fall 2023,2025-07-29
GRD001195,STU000265,CS301,46.11,F,Fall 2024,2024-12-19
GRD001196,STU000265,EN201,76.61,C,Spring 2025,2025-05-08
GRD001197,STU000265,MA101,69.71,D,Spring 2024,2025-10-22
GRD001198,STU000265,CS201,78.29,C,Fall 2024,2024-12-22
GRD001199,STU000265,EN101,73.36,C,Spring 2025,2025-08-11
GRD001200,STU000265,CS401,90.46,A,Fall 2024,2025-09-24
GRD001201,STU000266,CS201,71.88,C,Fall 2024,2025-11-04
GRD001202,STU000266,BA201,63.56,D,Spring 2024,2025-06-27
GRD001203,STU000266,MA101,71.83,C,Spring 2024,2025-02-14
GRD001204,STU000267,CS201,78.15,C,Fall 2023,2025-06-13
GRD001205,STU000267,CS401,70.73,C,Spring 2024,2025-02-09
GRD001206,STU000267,MA101,70.61,C,Spring 2024,2024-12-27
GRD001207,STU000268,CS401,59.47,F,Fall 2023,2025-02-03
GRD001208,STU000268,BA101,60.06,D,Spring 2025,2025-10-26
GRD001209,STU000268,CS201,48.96,F,Fall 2023,2025-06-10
GRD001210,STU000269,BA101,96.24,A,Fall 2024,2025-04-29
GRD001211,STU000269,CS101,51.34,F,Spring 2024,2025-06-10
GRD001212,STU000269,BA201,59.61,F,Spring 2025,2025-05-20
GRD001213,STU000270,PH101,59.22,F,Spring 2025,2025-03-06
GRD001214,STU000270,MA201,83.42,B,Fall 2023,2025-03-06
GRD001215,STU000270,CS201,65.58,D,Spring 2024,2025-11-06
GRD001216,STU000270,BA201,88.72,B,Spring 2025,2025-03-19
GRD001217,STU000271,BA101,59.9,F,Spring 2025,2025-10-09
GRD001218,STU000271,CS301,74.18,C,Fall 2023,2025-07-23
GRD001219,STU000271,MA201,57.47,F,Spring 2024,2024-12-05
GRD001220,STU000272,PH101,100.0,A,Fall 2024,2025-04-03
GRD001221,STU000272,CS301,52.19,F,Spring 2024,2025-05-29
GRD001222,STU000272,EN201,74.65,C,Fall 2024,2025-05-18
GRD001223,STU000272,MA101,79.51,C,Spring 2025,2025-10-29
GRD001224,STU000273,CS401,76.21,C,Spring 2025,2025-09-30
GRD001225,STU000273,PH101,67.22,D,Fall 2023,2025-09-06
GRD001226,STU000273,MA101,68.05,D,Fall 2024,2025-02-11
GRD001227,STU000273,CS201,70.66,C,Fall 2023,2025-03-08
GRD001228,STU000273,CS301,67.79,D,Fall 2023,2025-03-31
GRD001229,STU000273,BA101,84.46,B,Fall 2024,2025-08-24
GRD001230,STU000274,CS301,100.0,A,Fall 2023,2025-10-13
GRD001231,STU000274,CS201,61.64,D,Spring 2024,2024-11-20
GRD001232,STU000274,BA101,49.45,F,Spring 2025,2025-07-09
GRD001233,STU000274,BA201,68.68,D,Spring 2025,2025-07-10
GRD001234,STU000274,EN201,100.0,A,Spring 2025,2024-12-21
GRD001235,STU000275,CS201,57.94,F,Fall 2024,2025-06-25
GRD001236,STU000275,MA101,94.59,A,Spring 2025,2025-04-23
GRD001237,STU000275,EN101,95.17,A,Spring 2024,2025-04-07
GRD001238,STU000275,CS101,61.7,D,Fall 2024,2025-03-01
GRD001239,STU000276,BA201,78.53,C,Fall 2024,2024-12-04
GRD001240,STU000276,CS201,94.43,A,Fall 2023,2025-01-05
GRD001241,STU000276,BA301,64.31,D,Fall 2023,2025-07-16
GRD001242,STU000276,EN201,66.95,D,Fall 2023,2025-08-31
GRD001243,STU000276,EN101,61.27,D,Fall 2023,2025-06-23
GRD001244,STU000277,CS301,54.78,F,Spring 2025,2024-12-11
GRD001245,STU000277,MA101,60.26,D,Fall 2023,2025-05-24
GRD001246,STU000277,BA301,51.64,F,Spring 2025,2025-03-24
GRD001247,STU000277,CS201,70.51,C,Spring 2025,2025-09-24
GRD001248,STU000277,CS401,58.45,F,Fall 2023,2025-08-18
GRD001249,STU000277,EN101,73.51,C,Fall 2023,2025-04-29
GRD001250,STU000278,CS401,46.66,F,Spring 2025,2025-08-02
GRD001251,STU000278,BA301,74.96,C,Spring 2025,2025-09-21
GRD001252,STU000278,BA201,82.5,B,Fall 2024,2025-03-31
GRD001253,STU000278,CS201,40.09,F,Fall 2023,2025-02-12
GRD001254,STU000278,MA101,75.61,C,Spring 2024,2025-03-23
GRD001255,STU000278,CS301,88.42,B,Spring 2024,2024-12-26
GRD001256,STU000279,BA201,51.86,F,Fall 2023,2025-05-17
GRD001257,STU000279,MA101,95.09,A,Spring 2025,2025-03-21
GRD001258,STU000279,CS101,76.29,C,Spring 2024,2025-10-22
GRD001259,STU000279,BA301,59.42,F,Spring 2024,2025-11-07
GRD001260,STU000280,BA101,69.16,D,Fall 2024,2025-04-25
GRD001261,STU000280,PH101,78.37,C,Fall 2023,2025-06-19
GRD001262,STU000280,CS301,71.14,C,Spring 2025,2025-04-18
GRD001263,STU000280,CS201,78.08,C,Spring 2024,2024-12-11
GRD001264,STU000280,MA101,56.19,F,Fall 2024,2025-08-16
GRD001265,STU000280,CS101,72.54,C,Fall 2023,2025-10-02
GRD001266,STU000281,BA201,48.79,F,Spring 2025,2025-03-20
GRD001267,STU000281,BA101,68.33,D,Spring 2024,2024-11-27
GRD001268,STU000281,CS301,56.44,F,Spring 2025,2025-05-21
GRD001269,STU000281,CS401,58.97,F,Spring 2025,2025-11-13
GRD001270,STU000281,PH101,88.54,B,Spring 2024,2025-10-10
GRD001271,STU000281,EN201,86.37,B,Spring 2024,2025-06-06
GRD001272,STU000282,CS101,79.14,C,Fall 2024,2025-09-21
GRD001273,STU000282,CS301,53.62,F,Spring 2025,2025-07-07
GRD001274,STU000282,EN101,65.25,D,Fall 2023,2025-04-02
GRD001275,STU000282,MA201,88.2,B,Spring 2024,2024-12-29
GRD001276,STU000282,MA101,72.13,C,Spring 2025,2024-12-26
GRD001277,STU000283,CS101,100.0,A,Spring 2025,2024-11-27
GRD001278,STU000283,CS401,75.9,C,Spring 2024,2025-01-15
GRD001279,STU000283,MA201,72.88,C,Spring 2025,2025-07-31
GRD001280,STU000284,CS401,65.36,D,Fall 2024,2025-11-10
GRD001281,STU000284,PH101,72.0,C,Fall 2024,2025-06-14
GRD001282,STU000284,MA101,67.71,D,Fall 2023,2024-11-25
GRD001283,STU000284,CS101,80.62,B,Spring 2025,2024-12-21
GRD001284,STU000284,BA201,84.35,B,Spring 2025,2025-04-21
GRD001285,STU000285,BA201,58.21,F,Spring 2024,2025-03-29
GRD001286,STU000285,PH101,50.03,F,Spring 2025,2025-05-11
GRD001287,STU000285,EN201,42.46,F,Spring 2024,2025-02-08
GRD001288,STU000285,BA301,77.62,C,Spring 2024,2025-02-14
GRD001289,STU000285,MA201,53.45,F,Spring 2025,2025-05-07
GRD001290,STU000285,CS101,37.71,F,Fall 2024,2024-12-16
GRD001291,STU000286,MA201,75.83,C,Fall 2023,2025-10-04
GRD001292,STU000286,BA101,100.0,A,Fall 2023,2025-01-07
GRD001293,STU000286,MA101,69.91,D,Spring 2025,2025-09-26
GRD001294,STU000286,CS201,82.58,B,Spring 2025,2025-01-03
GRD001295,STU000286,EN201,71.23,C,Fall 2023,2024-12-29
GRD001296,STU000286,BA301,68.52,D,Spring 2025,2025-03-06
GRD001297,STU000287,MA201,83.79,B,Spring 2024,2025-07-27
GRD001298,STU000287,BA101,65.65,D,Spring 2025,2025-02-09
GRD001299,STU000287,BA301,74.01,C,Spring 2025,2025-09-21
GRD001300,STU000288,EN101,74.83,C,Spring 2025,2024-12-23
GRD001301,STU000288,CS201,59.98,F,Spring 2025,2025-11-15
GRD001302,STU000288,BA201,84.88,B,Fall 2024,2025-07-27
GRD001303,STU000288,PH101,67.38,D,Fall 2024,2025-07-04
GRD001304,STU000289,BA101,58.66,F,Fall 2023,2025-11-11
GRD001305,STU000289,BA301,78.05,C,Fall 2023,2025-09-01
GRD001306,STU000289,CS401,56.52,F,Fall 2024,2025-02-26
GRD001307,STU000289,CS101,70.42,C,Fall 2024,2025-05-31
GRD001308,STU000289,MA201,69.86,D,Spring 2024,2025-01-30
GRD001309,STU000290,CS401,86.29,B,Fall 2023,2025-01-27
GRD001310,STU000290,EN201,77.12,C,Spring 2025,2025-09-14
GRD001311,STU000290,BA301,69.62,D,Spring 2025,2025-08-22
GRD001312,STU000290,PH101,82.27,B,Spring 2025,2025-06-09
GRD001313,STU000290,MA101,90.85,A,Spring 2024,2025-04-09
GRD001314,STU000290,EN101,78.37,C,Spring 2024,2025-09-29
GRD001315,STU000291,EN201,70.16,C,Fall 2024,2025-02-08
GRD001316,STU000291,CS201,50.32,F,Spring 2024,2025-06-06
GRD001317,STU000291,MA101,54.02,F,Spring 2024,2025-10-02
GRD001318,STU000291,BA301,65.42,D,Fall 2023,2025-11-05
GRD001319,STU000292,CS101,60.86,D,Fall 2023,2025-01-30
GRD001320,STU000292,MA201,67.2,D,Spring 2025,2025-11-06
GRD001321,STU000292,MA101,70.85,C,Spring 2024,2025-03-31
GRD001322,STU000292,CS301,77.95,C,Fall 2024,2025-08-15
GRD001323,STU000292,PH101,68.94,D,Spring 2024,2024-12-19
GRD001324,STU000292,BA101,77.3,C,Spring 2024,2025-06-19
GRD001325,STU000293,EN201,70.97,C,Fall 2023,2025-07-01
GRD001326,STU000293,CS401,40.37,F,Fall 2023,2025-09-06
GRD001327,STU000293,BA301,55.91,F,Fall 2023,2024-12-27
GRD001328,STU000293,BA101,67.84,D,Fall 2023,2025-09-23
GRD001329,STU000294,MA101,51.85,F,Spring 2024,2025-10-02
GRD001330,STU000294,CS201,79.0,C,Fall 2023,2025-03-10
GRD001331,STU000294,MA201,92.96,A,Fall 2024,2025-08-04
GRD001332,STU000294,CS301,88.28,B,Spring 2025,2025-09-28
GRD001333,STU000294,BA101,66.8,D,Spring 2025,2025-11-07
GRD001334,STU000294,EN201,92.36,A,Spring 2025,2025-10-12
GRD001335,STU000295,MA201,72.23,C,Spring 2025,2025-08-28
GRD001336,STU000295,CS201,64.94,D,Spring 2024,2025-06-19
GRD001337,STU000295,CS401,60.8,D,Fall 2023,2025-08-19
GRD001338,STU000295,BA301,65.46,D,Fall 2023,2025-09-19
GRD001339,STU000295,EN201,64.18,D,Fall 2024,2025-05-25
GRD001340,STU000295,CS301,72.56,C,Spring 2025,2025-01-08
GRD001341,STU000296,CS301,72.41,C,Fall 2023,2025-08-12
GRD001342,STU000296,EN201,70.05,C,Fall 2023,2025-02-17
GRD001343,STU000296,BA101,76.55,C,Fall 2023,2025-02-26
GRD001344,STU000297,CS401,87.86,B,Fall 2023,2025-06-04
GRD001345,STU000297,BA201,84.24,B,Spring 2024,2025-07-29
GRD001346,STU000297,CS201,47.73,F,Fall 2023,2024-11-29
GRD001347,STU000297,PH101,31.69,F,Spring 2024,2025-07-04
GRD001348,STU000298,EN101,84.01,B,Spring 2025,2025-03-10
GRD001349,STU000298,CS401,49.5,F,Spring 2025,2025-03-01
GRD001350,STU000298,CS201,66.63,D,Spring 2025,2025-08-12
GRD001351,STU000298,BA201,52.45,F,Fall 2024,2025-08-22
